activity_id,assay_id,doc_id,record_id,molregno,standard_relation,standard_value,standard_units,standard_flag,standard_type,activity_comment,data_validity_comment,potential_duplicate,pchembl_value,bao_endpoint,uo_units,qudt_units,toid,upper_value,standard_upper_value,src_id,type,relation,value,units,text_value,standard_text_value
15094825,1458831,89233,2255759,1789026,=,28300.0,nM,1,IC50,,,0,4.55,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,=,28.3,uM,,
14754961,1368853,84113,2120353,1762597,=,13000.0,nM,1,IC50,,,0,4.89,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,=,13.0,uM,,
15376358,1479237,91877,2456921,1877395,=,-8.199,%,1,Inhibition,,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,33,Inhibition,=,-8.199148621,%,,
14794052,1369365,84174,2136575,588930,=,73.48,%,1,Inhibition,,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,17,Inhibition,=,73.47917642,%,,
14768825,1369286,84147,2130910,319860,,3.0,uL.min-1.(10^6cells)-1,1,CL,,,0,,BAO_0002759,,,,,,27,CLint,,3.0,microL/min/1E6 cells,,
16389135,1538056,97312,2736271,2051771,>,100000.0,nM,1,GI50,,,0,,BAO_0000189,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,GI50,>,100.0,uM,,
15231531,1474245,91711,2296080,1842760,=,24.0,nM,1,MIC,,,0,,BAO_0002146,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,MIC,=,0.024,uM,,
15528989,1495346,51887,1241265,749490,,25118.9,nM,1,Potency,inactive,,0,,BAO_0000186,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,7,Potency,,25.1189,uM,,
15360484,1479058,91873,2329321,540055,=,3.27,%,1,Inhibition,,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,32,Inhibition,=,3.27,%,,
16460053,1551382,97960,2747496,2061153,=,19.0,nM,1,Ki,,,0,7.72,BAO_0000192,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,Ki,=,19.0,nM,,
16434086,1547546,97716,2743924,2058280,=,41000.0,nM,1,EC50,,,0,4.39,BAO_0000188,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,EC50,=,41.0,uM,,
16397562,1540356,97429,2737086,2052538,,,,0,Activity,Active,,0,,BAO_0000375,,,,,,1,Activity,,,,,
15614743,1500133,92464,2482114,1947469,=,20.3,%,1,Inhibition,,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,INH,=,20.3,%,,
15128196,1432092,89298,2253668,316347,=,24000.0,nM,1,IC50,,,0,4.62,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,=,24.0,uM,,
14727497,1363324,83881,2117553,122220,=,298.7,%,0,Activity,,,0,,BAO_0001103,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Activity,=,298.7,%,,
14743779,1366166,83851,2115523,24217,=,9.58,%,0,Activity,,,0,,BAO_0001103,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Activity,=,9.58,%,,
15224044,1473871,91486,2291804,1839222,=,9020.0,nM,1,IC50,,,0,5.04,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,=,9020.0,nM,,
15573785,1495346,51887,1512160,1225499,,12589.3,nM,1,Potency,inactive,,0,,BAO_0000186,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,7,Potency,,12.5893,uM,,
15027766,1448513,90348,2250615,1781426,=,4950.0,nM,1,IC50,,,0,5.3,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,=,4.95,uM,,
14743402,1362802,83764,2115496,1012548,=,751000.0,nM,1,IC50,,Outside typical range,1,,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,=,751.0,uM,,
15058516,1453704,90364,2259144,1781614,=,4.43,,0,Ratio Ki,,,0,,BAO_0000179,,,,,,1,Ratio Ki,=,4.43,,,
15150488,1461071,90855,2276735,1827084,=,13.3,%,0,Activity,,,0,,BAO_0001103,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Activity,=,13.3,%,,
15082372,1441456,89462,2262229,1793550,>,10000.0,nM,1,IC50,,,0,,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,>,10.0,uM,,
14713777,1365017,83944,2116454,1759392,,,,0,Inhibition,Active,,0,,BAO_0000376,,,,,,1,INH,,,,,
15627345,1500899,92623,2483609,1948709,=,5650.0,nM,1,IC50,,,0,5.25,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,=,5.65,uM,,
15026664,1458623,90711,2255548,1786880,=,34.23,,0,Ratio IC50,,,0,,BAO_0000179,,,,,,1,Ratio IC50,=,34.23,,,
15066371,1453387,89218,2251344,1521578,=,3090.3,nM,1,GI50,,,0,,BAO_0000189,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,pGI50,=,5.51,,,
15072189,1432216,89382,2258049,1794777,=,25.0,ug.mL-1,1,MIC,,,0,,BAO_0002146,UO_0000274,http://www.openphacts.org/units/MicrogramPerMilliliter,,,,1,MIC,=,25.0,ug ml-1,,
16372960,1537595,97231,2731527,2047368,<,500.0,nM,1,IC50,,,0,,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,38,IC50,<,500.0,nM,,
16415581,1546332,97584,2741021,2055891,=,2270.0,nM,1,LC50,,,0,,BAO_0002145,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,LC50,=,2.27,uM,,
15582812,1495276,51887,2474427,1941851,=,7490.0,nM,1,AC50,active,,0,5.13,BAO_0000186,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,7,AC50,=,7.49,uM,,
15100390,1438169,89315,2262061,1791356,=,55000.0,nM,1,TGI,,,0,,BAO_0000194,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,TGI,=,55.0,uM,,
15452608,1483064,92054,2468810,1924261,,,,0,Compound recovery,metabolite_not_detected,,0,,BAO_0000179,,,,,,1,Compound recovery,,,,,
15468004,1483779,91983,2468559,1924103,,,,0,Drug metabolism,metabolite_not_detected,,0,,BAO_0000179,,,,,,1,Drug metabolism,,,,,
14928142,1390397,85871,2173230,1052567,=,90.0,%,0,Activity,,,0,,BAO_0001103,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Activity,=,90.0,%,,
14714789,1364033,83776,2116284,1759248,=,310.16,,0,Ratio CC50/EC50,,,0,,BAO_0000179,,,,,,1,Ratio CC50/EC50,=,310.16,,,
15249842,1476403,91818,2297945,1223001,=,49000.0,nM,1,IC50,,,0,4.31,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,=,49.0,uM,,
14784027,1369392,84174,2136665,585071,=,113.63,%,1,Inhibition,,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,17,Inhibition,=,113.632762,%,,
15012828,1454934,90633,2253268,1786721,,,,0,Ki,Not Determined,,0,,BAO_0000192,,,,,,1,Ki,,,,,
16413928,1541744,97543,2738309,2053566,=,7109.0,nM,1,Ki,,,0,5.15,BAO_0000192,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,Ki,=,7109.0,nM,,
16392803,1539082,97319,2736458,2337430,=,4.0,nM,1,Ki,,,0,8.4,BAO_0000192,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,Ki,=,4.0,nM,,
15225562,1472258,91510,2293666,1139916,=,3.78,%,0,Activity,,,0,,BAO_0001103,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Activity,=,3.78,%,,
16384691,1537873,97307,2736135,1287089,,,,0,EC50,Not Determined,,0,,BAO_0000188,,,,,,1,EC50,,,,,
15380061,1479237,91877,2430961,1873895,=,4.952,%,1,Inhibition,,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,33,Inhibition,=,4.952231147,%,,
15567455,1495346,51887,1220828,967940,,2511.9,nM,1,Potency,inactive,,0,,BAO_0000186,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,7,Potency,,2.5119,uM,,
15235863,1475769,91658,2294448,1841456,>,100000.0,nM,1,IC50,,,0,,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,>,100.0,uM,,
15545510,1495346,51887,1237022,980082,,25118.9,nM,1,Potency,inactive,,0,,BAO_0000186,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,7,Potency,,25.1189,uM,,
15194420,1467787,91401,2289335,1837295,=,13.08,%,1,Inhibition,,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,INH,=,13.08,%,,
14669495,1347854,83188,2100725,1746989,=,70.0,nM,1,Ki,,,0,7.16,BAO_0000192,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,Ki,=,70.0,nM,,
15047201,1453986,90573,2257457,1786785,=,612000.0,nM,1,IC50,,Outside typical range,0,,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,=,612.0,uM,,
15775145,1527097,93884,2510078,1970629,=,9500.0,nM,1,IC50,,,0,5.02,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,=,9.5,uM,,
15215101,1473740,91473,2290287,1838051,>,100000.0,nM,1,IC50,,,0,,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,>,100.0,uM,,
15475580,1495346,51887,1289163,868844,,39810.7,nM,1,Potency,active,,0,,BAO_0000186,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,7,Potency,,39.8107,uM,,
15661383,1507442,92930,2490580,1954254,,,,0,GI,Active,,0,,BAO_0000181,,,,,,1,GI,,,,,
15067082,1433059,89338,2272598,1790328,=,1.0,ug.mL-1,1,MIC,,,0,,BAO_0002146,UO_0000274,http://www.openphacts.org/units/MicrogramPerMilliliter,,,,1,MIC,=,1.0,ug ml-1,,
14801373,1369358,84174,2136930,586907,=,45.38,%,1,Inhibition,,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,17,Inhibition,=,45.37774559,%,,
15589179,1495346,51887,1022071,889226,,19952.6,nM,1,Potency,active,,0,,BAO_0000186,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,7,Potency,,19.9526,uM,,
15599114,1495406,51887,1147367,825631,,2370.0,nM,1,IC50,active,,0,,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,7,IC50,,2.37,uM,,
14762637,1369278,84147,2131579,46543,,2.79,,1,LogD7.4,,,0,,BAO_0000179,,,,,,27,LogD7.4,,2.79,,,
16408636,1541714,97493,2739941,2054913,=,12400.0,nM,1,EC50,,,0,4.91,BAO_0000188,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,EC50,=,12.4,uM,,
15173001,1463922,91130,2285506,337366,=,6.83,,0,-log(solubility),,,0,,BAO_0000179,,,,,,1,-log(solubility),=,6.83,,,
15127203,1453331,90815,2263972,1786769,=,89.0,%,0,Efficacy,,,0,,BAO_0000656,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Efficacy,=,89.0,%,,
15729014,1521907,93542,2503817,794588,=,42.0,%,1,Inhibition,,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,INH,=,42.0,%,,
15413646,1479237,91877,2408768,1861282,=,-14.28,%,1,Inhibition,,Outside typical range,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,33,Inhibition,=,-14.28167348,%,,
16333912,1528065,94374,2519580,1979119,=,330.0,nM,1,Ki,249282,,0,6.48,BAO_0000192,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,37,Ki,=,330.0,nM,,
15703611,1515943,93381,2500674,1962728,=,1.167,hr,1,TIME,,,0,,BAO_0000179,UO_0000032,http://qudt.org/vocab/unit#Hour,,,,1,Time,=,70.0,min,,
15549721,1495259,51887,2474557,27029,,1.259,uM,0,Ac50,inactive,,0,,BAO_0000186,UO_0000064,http://www.openphacts.org/units/Micromolar,,,,7,Ac50,,1.258925412,uM,,
15011198,1457341,90383,2265453,1784274,,,,0,Activity,Active,,0,,BAO_0000375,,,,,,1,Activity,,,,,
15593713,1495421,51887,2037714,28939,,4.467,uM,0,Ac50,active,,0,,BAO_0000186,UO_0000064,http://www.openphacts.org/units/Micromolar,,,,7,Ac50,,4.466835922,uM,,
15251333,1478412,91791,2296728,1843296,,,,0,Activity,Dose-dependent effect,,0,,BAO_0000375,,,,,,1,Activity,,,,,
15581759,1495346,51887,1047305,790876,,25118.9,nM,1,Potency,active,,0,,BAO_0000186,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,7,Potency,,25.1189,uM,,
15482412,1495346,51887,990992,884153,,17782.8,nM,1,Potency,inconclusive,,0,,BAO_0000186,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,7,Potency,,17.7828,uM,,
15211857,1470617,91564,2292982,716337,=,46.0,nM,1,IC50,,,0,7.34,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,=,46.0,nM,,
14981993,1445063,89931,2252320,1819999,=,1370.0,nM,1,EC50,,,0,5.86,BAO_0000188,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,EC50,=,1.37,uM,,
15702167,1515742,93373,2500513,1962590,=,6.9,nM,1,Ki,,,0,8.16,BAO_0000192,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,Ki,=,6.9,nM,,
15024514,1459163,90386,2267667,1781789,=,75.0,%,1,Stability,,,0,,BAO_0000179,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Stability,=,75.0,%,,
14990063,1445731,90016,2252427,1820096,=,1.1,,0,Ratio Ki,,,0,,BAO_0000179,,,,,,1,Ratio Ki,=,1.1,,,
15714765,1516727,93417,2501259,1963277,,,,0,Activity,Active,,0,,BAO_0000375,,,,,,1,Activity,,,,,
14778157,1369335,84173,2136270,589139,=,-3900.0,%,1,Inhibition,,Outside typical range,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,17,% Inhibition,=,-39.0,,,
15193940,1468837,91367,2286896,1835290,,,,0,Activity,Non-toxic,,0,,BAO_0000375,,,,,,1,Activity,,,,,
15151541,1460599,90858,2276923,1827252,=,22.0,mL.min-1.kg-1,1,CL,,,0,,BAO_0002759,,,,,,1,CLH,=,22.0,ml/min.kg,,
16363725,1536992,97176,2725171,2041373,<=,10000.0,nM,1,IC50,,,0,,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,38,IC50,<=,10.0,uM,,
15771530,1526581,93870,2509757,1970406,,,,0,IC50,Not Determined,,0,,BAO_0000190,,,,,,1,IC50,,,,,
15754560,1523779,93805,2506835,1967930,,,,0,GI,Not Determined,,0,,BAO_0000181,,,,,,1,GI,,,,,
15575535,1495275,51887,2473911,1941561,=,1210.0,nM,1,AC50,active,,0,5.92,BAO_0000186,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,7,AC50,=,1.21,uM,,
16315048,1535339,94203,2525884,1984818,=,2.0,nM,1,IC50,225930,,0,8.7,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,37,IC50,=,2.0,nM,,
15666780,1509248,93086,2492329,1955839,,,,0,Activity,Active,,0,,BAO_0000375,,,,,,1,Activity,,,,,
15236599,1474037,91660,2294533,1841514,=,4.1,nM,1,IC50,,,0,8.39,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,=,0.0041,uM,,
15505881,1495402,51887,2042059,647206,,316.2,nM,1,AC50,inactive,,0,,BAO_0000186,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,7,AC50,,0.3162,uM,,
15103760,1450621,90796,2257780,1791958,=,220.0,uM,0,TD50,,,0,,BAO_0000179,UO_0000064,http://www.openphacts.org/units/Micromolar,,,,1,TD50,=,220.0,uM,,
14977495,1444388,89988,2241890,1817329,=,19430.0,nM,1,IC50,,,0,4.71,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,=,19.43,uM,,
15014856,1450167,84120,2248372,1762812,=,16000.0,nM,1,MIC,,,0,,BAO_0002146,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,MIC,=,16.0,uM,,
15760399,1522773,93699,2506667,1967785,=,108.75,%,0,Activity,,,0,,BAO_0001103,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Activity,=,108.75,%,,
15634119,1503073,92741,2485847,1950532,=,1.67,hr,1,Tmax,,,0,,BAO_0003037,UO_0000032,http://qudt.org/vocab/unit#Hour,,,,1,Tmax,=,1.67,hr,,
16332992,1535797,94884,2538103,1996209,>,10000.0,nM,1,IC50,303208,,0,,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,37,IC50,>,10000.0,nM,,
14985328,1444954,90003,2248038,1819105,=,0.5,,0,SUV,,,0,,BAO_0000179,,,,,,1,SUV,=,0.5,,,
15077282,1432290,89420,2243234,1793316,=,45780.0,nM,1,IC50,,,0,4.34,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,=,45.78,uM,,
15757223,1523926,93808,2507674,1615,=,980.0,nM,1,MIC,,,0,,BAO_0002146,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,MIC,=,0.98,uM,,
14732884,1361904,83962,2118436,1761003,=,537.0,nM,1,Ki,,,0,6.27,BAO_0000192,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,Ki,=,537.0,nM,,
15767281,1526080,93902,2510101,1970648,>,10000.0,nM,1,Ki,,,0,,BAO_0000192,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,Ki,>,10000.0,nM,,
16403885,1540980,97484,2739541,2054556,,,,0,Activity,Dose-dependent effect,,0,,BAO_0000375,,,,,,1,Activity,,,,,
15634127,1503071,92741,2485847,1950532,=,4.3,hr,1,T1/2,,,0,,BAO_0002115,UO_0000032,http://qudt.org/vocab/unit#Hour,,,,1,t1/2,=,4.3,hr,,
15462481,1482047,91976,2471041,1925301,=,0.0,%,0,Drug metabolism,,,0,,BAO_0000179,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Drug metabolism,=,0.0,%,,
15229774,1472646,91556,2292556,1839847,=,348.0,nM,1,IC50,,,0,6.46,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,=,0.348,uM,,
15612808,1499487,92450,2481884,1947294,,,,0,Activity,Active,,0,,BAO_0000375,,,,,,1,Activity,,,,,
15650471,1505517,92863,2487844,1952137,>,100000.0,nM,1,IC50,,,0,,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,>,100.0,uM,,
15648472,1505116,92799,2487894,1952175,=,95.0,%,0,Activity,,,0,,BAO_0001103,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Activity,=,95.0,%,,
15233748,1474901,91722,2295840,1842593,>,100000.0,nM,1,IC50,,,0,,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,>,100.0,uM,,
14755291,1369055,84063,2121169,155006,=,8.05,,0,pKA,,,0,,BAO_0002131,,,,,,1,pKA,=,8.05,,,
15223327,1471551,91579,2293558,1840692,,,,0,Inhibition,Dose-dependent effect,,0,,BAO_0000376,,,,,,1,INH,,,,,
14744691,1362612,83971,2118920,1761399,=,46.27,%,1,Inhibition,,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,INH,=,46.27,%,,
15334394,1479056,91873,2320511,541985,=,18.35,%,1,Inhibition,,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,32,Inhibition,=,18.35,%,,
15551638,1495346,51887,1099046,787872,,6309.6,nM,1,Potency,inactive,,0,,BAO_0000186,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,7,Potency,,6.3096,uM,,
15286279,1479040,91871,2302611,1848029,>,100000.0,nM,1,IC50,,,0,,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,21,IC50,>,100.0,uM,,
15202596,1467053,91346,2289475,394165,=,101.0,%,1,Stability,,,0,,BAO_0000179,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Stability,=,101.0,%,,
14997792,1454601,90333,2244438,1781256,=,0.052,,1,Fu,,,0,,BAO_0000179,,,,,,1,Fu,=,5.2,%,,
15170910,1466495,91264,2283489,1832531,,,,0,Activity,Non-toxic,,0,,BAO_0000375,,,,,,1,Activity,,,,,
16455121,1552159,97901,2748269,2061744,=,2620.0,nM,1,IC50,,,0,5.58,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,=,2.62,uM,,
15368614,1479058,91873,2328921,541492,=,5.77,%,1,Inhibition,,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,32,Inhibition,=,5.77,%,,
16445454,1549371,97698,2746782,2060472,=,55.0,%,0,Activity,,,0,,BAO_0001103,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Activity,=,55.0,%,,
15618427,1499390,92542,2481490,1946961,=,88.0,%,0,Emax,,,0,,BAO_0000656,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Emax,=,88.0,%,,
15360634,1479058,91873,2318567,537302,=,5.62,%,1,Inhibition,,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,32,Inhibition,=,5.62,%,,
15609387,1496273,92321,2479748,1945489,>=,80.0,%,0,mortality,,,0,,BAO_0000179,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,mortality,>=,80.0,%,,
15428400,1479237,91877,2399394,1854897,=,-9.72,%,1,Inhibition,,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,33,Inhibition,=,-9.719616427,%,,
14991666,1445858,90017,2252439,1820108,=,565.0,nM,1,Ki,,,0,6.25,BAO_0000192,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,Ki,=,565.0,nM,,
15463582,1495208,91964,2469780,1924715,=,10.9,ngequiv/g,0,Radiolabel recovery,,,0,,BAO_0000179,,,,,,1,Radiolabel recovery,=,10.9,ngequiv/g,,
15123117,1433773,89253,2266189,1789203,>,113600.0,nM,1,IC50,,Outside typical range,0,,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,>,113.6,uM,,
15382599,1479237,91877,2459818,1857989,=,-1.797,%,1,Inhibition,,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,33,Inhibition,=,-1.797474508,%,,
15730788,1520853,93668,2506369,1967431,,,,0,Activity,Active,,0,,BAO_0000375,,,,,,1,Activity,,,,,
15704530,1516169,93385,2498378,1223,=,-8.42,%,0,Activity,,,0,,BAO_0001103,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Activity,=,-8.42,%,,
14996040,1449821,90735,2265997,1785588,=,25.0,nM,1,Ki,,,0,7.6,BAO_0000192,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,Ki,=,25.0,nM,,
15515932,1495346,51887,1172656,461229,,39810.7,nM,1,Potency,inconclusive,,0,,BAO_0000186,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,7,Potency,,39.8107,uM,,
14785296,1369351,84174,2136626,73562,=,-81.39,%,1,Inhibition,,Outside typical range,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,17,Inhibition,=,-81.39278833,%,,
14802974,1369359,84174,2136855,541721,=,100.57,%,1,Inhibition,,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,17,Inhibition,=,100.5738233,%,,
14713412,1366568,83903,2119257,496769,=,0.063,ug.mL-1,1,MIC,,,0,,BAO_0002146,UO_0000274,http://www.openphacts.org/units/MicrogramPerMilliliter,,,,1,MIC,=,0.063,ug ml-1,,
