assay_id,doc_id,description,assay_type,assay_test_type,assay_category,assay_organism,assay_tax_id,assay_strain,assay_tissue,assay_cell_type,assay_subcellular_fraction,tid,relationship_type,confidence_score,curated_by,src_id,src_assay_id,chembl_id,cell_id,bao_format,tissue_id,variant_id,aidx
475619,39248,"Effect on motor coordination in CD1 Albino mouse assessed as number of falls in 30 secs at 10 mg/kg, po after 30 mins by rotarod test relative to control",F,,,Mus musculus,10090.0,CD1,,,,50594,N,1,Intermediate,1,,CHEMBL922349,,BAO_0000218,,,CLD0
694982,54482,"Clearance in patient with end-stage renal failure undergoing hemodiafiltration at 4 mg/kg, iv after 2 hrs by LC/MS/MS analysis",A,In vivo,,Homo sapiens,9606.0,,,,,50587,N,1,Autocuration,1,,CHEMBL1640351,,BAO_0000218,,,CLD0
112477,17081,Log cell kill of tumor bearing mice on a schedule of 1-6 days and at a total dose of 162 mg/kg,F,,,Mus musculus,10090.0,,,,,50594,N,1,Intermediate,1,,CHEMBL721313,,BAO_0000218,,,CLD0
819091,61936,Metabolic stability in human liver microsomes assessed as GSH adduct formation at 1 uM after 30 mins in presence of NADPH and UDPGA,A,,,Homo sapiens,9606.0,,Liver,,Microsome,102164,S,2,Autocuration,1,450106,CHEMBL2034413,,BAO_0000251,2107.0,,CLD0
725796,55566,Antibacterial activity against intI1-positive tigecycline-resistant Acinetobacter baumannii AB134 with PFGE subgroup A2 containing carbapenemase OXA-23 and OXA-51 by Etest in presence of 64 mg/liter 1-(1-naphthylmethyl)-piperazine,F,,,Acinetobacter baumannii,470.0,AB134,,,,50191,N,1,Autocuration,1,,CHEMBL1678392,,BAO_0000218,,,CLD0
804422,61112,Inhibition of recombinant human BACE1 using Eu-CEVNLDAEFK-Qsy7 as substrate by HTRF assay,B,,,Homo sapiens,9606.0,,,,,12252,D,9,Autocuration,1,431580,CHEMBL1954849,,BAO_0000357,,,CLD0
560954,44795,Effect on proteosomal activity of human MDA-MB-231 cells measured after 3 days in absence of epoxomicin,F,,,Homo sapiens,9606.0,,,MDA-MB-231,,81252,N,1,Autocuration,1,,CHEMBL1014401,325.0,BAO_0000219,,,CLD0
183296,9752,Hypolipidemic effects in rat fed a normal diet by peroral administration at 100 mg/kg dose.(increase in liver weight with respect to body weight mg/g); (Experiment 2),F,,,Rattus norvegicus,10116.0,,Liver,,,50597,N,1,Intermediate,1,,CHEMBL790350,,BAO_0000218,2107.0,,CLD0
1507767,92987,Metabolic stability in monkey RBC assessed as radioactivity at 15 to 106 MBq after 5 to 60 mins by HPLC analysis,A,,,Macaca mulatta,9544.0,,,Erythrocyte,,22224,U,0,Autocuration,1,755407,CHEMBL3598434,5555.0,BAO_0000219,,,CLD0
203603,398,Tested in vitro for antimicrobial activity against Staphylococcus aureus MB 2865; value ranges from 16-64 ug/mL,F,,,Staphylococcus aureus,1280.0,,,,,50185,N,1,Intermediate,1,,CHEMBL810559,,BAO_0000218,,,CLD0
443392,36478,"Antiinflammatory activity against Freund's adjuvant-induced arthritis in Wistar rat assessed as reduction in joint width at 10 mg/kg, po",F,,,Rattus norvegicus,10116.0,Wistar,,,,50597,N,1,Intermediate,1,,CHEMBL893645,,BAO_0000218,,,CLD0
679422,53671,Antifungal activity against Candida glabrata clinical isolate obtained from vulvovaginal candidiasis patient assessed as resistant isolates by broth microdilution method,F,,,Candida glabrata,5478.0,,,,,50443,N,1,Autocuration,1,,CHEMBL1281947,,BAO_0000218,,,CLD0
650306,52297,Binding affinity to cathepsin B in mouse NIH/3T3 cells assessed as protein labeling at 1 uM after 30 mins using SDS-PAGE and Typhoon laser flatbed canning method,B,,,Mus musculus,10090.0,,,NIH3T3,,101105,D,9,Autocuration,1,,CHEMBL1224964,723.0,BAO_0000219,,,CLD0
729561,55885,Inhibition of DNA synthesis in Staphylococcus epidermidis ATCC 23760 assessed as incorporation of [3H]thymidine at 2 ug/ml by liquid scintillation counter,F,,,Staphylococcus epidermidis,1282.0,ATCC 23760,,,,50186,N,1,Autocuration,1,,CHEMBL1696487,,BAO_0000218,,,CLD0
41599,11075,Inhibition of [125I]C5a binding to C5a anaphylatoxin chemotactic receptor in PMNL membranes,B,,,Homo sapiens,9606.0,,,,,12679,D,9,Expert,1,,CHEMBL650552,,BAO_0000249,,,CLD0
1460580,90857,"Volume of distribution at steady state in cynomolgus monkey at 1 mg/kg, iv and 5 mg/kg, po",A,,,Macaca fascicularis,9541.0,,,,,100710,N,1,Autocuration,1,725637,CHEMBL3395710,,BAO_0000218,,,CLD0
53457,14696,Inhibitory activity against dihydrofolate reductase (DHFR) from Toxoplasma gondii,B,,,Toxoplasma gondii,5811.0,,,,,10457,D,9,Expert,1,,CHEMBL661507,,BAO_0000357,,,CLD0
502610,39824,Toxicity against brine shrimp,A,,,Artemia,6660.0,,,,,50549,N,1,Autocuration,1,,CHEMBL988421,,BAO_0000218,,,CLD0
71951,10690,In vitro antagonism of 8 nM of peptidoleukotriene (LTE4) induced contraction of guinea pig tracheal spirals at 1 X E-7M concentration,F,,,Cavia porcellus,10141.0,,Trachea,,,50512,N,1,Expert,1,,CHEMBL685882,,BAO_0000218,3126.0,,CLD0
1469241,91424,Effect on TCF4 level in human COLO205-F1756 clone 4 cells harboring APC mutant and TCF/LEF responsive element at 350 nM by immunoblotting,F,,,Homo sapiens,9606.0,,,COLO 205,,80099,N,1,Autocuration,1,735001,CHEMBL3413922,641.0,BAO_0000219,,,CLD0
873166,66553,Increase in translocation of GAA to lysosomes in human wild type skin fibroblasts at 5 uM after 6 days by confocal laser-scanning microscopic analysis,B,,,Homo sapiens,9606.0,,,,,10977,D,9,Autocuration,1,489372,CHEMBL2183397,,BAO_0000357,,,CLD0
112271,2863,Inhibition of acetic acid induced writhing in mice at dose of 200 mg/kg,F,,,Mus musculus,10090.0,,,,,50594,N,1,Intermediate,1,,CHEMBL873142,,BAO_0000218,,,CLD0
167926,12003,Tested for change in heart rate administered at 4.12 uM/kg iv in anesthetized rats,F,,,Rattus norvegicus,10116.0,,Heart,,,50597,N,1,Intermediate,1,,CHEMBL882207,,BAO_0000218,948.0,,CLD0
171485,9991,"Variation in mean arterial pressure, produced by angiotensin II upon administration at 60 ug/kg/min in rats; 6/3",F,,,Rattus norvegicus,10116.0,,Artery,,,50597,N,1,Intermediate,1,,CHEMBL778662,,BAO_0000218,1637.0,,CLD0
1434293,89730,Inhibition of CYP2C19 in human hepatic microsomes after 20 mins by LC/MS/MS method,A,,,Homo sapiens,9606.0,,,,,12912,D,9,Autocuration,1,720301,CHEMBL3385838,,BAO_0000019,,,CLD0
33880,17074,Binding affinity towards Alpha-1A adrenergic receptor,B,,,,,,,,,125,H,8,Expert,1,,CHEMBL643752,,BAO_0000357,,,CLD0
526336,42856,Growth inhibition of human NCI-H226 cells after 72 hrs by MTT assay,F,,,Homo sapiens,9606.0,,,NCI-H226,,81280,N,1,Autocuration,1,,CHEMBL967327,701.0,BAO_0000219,,,CLD0
116439,13759,"Compound was evaluated for antitumor activity (RTV) in HT1376 carcinoma Xenograft, at a dosage 25 mg/kg on day 7",F,,,Mus musculus,10090.0,,,,,50594,N,1,Intermediate,1,,CHEMBL724108,,BAO_0000218,,,CLD0
76882,12970,Calcium channel agonist activity in guinea pig left atrium (GPLA) at 10e-8 M,F,,,Cavia porcellus,10141.0,,Cardiac atrium,,,50512,N,1,Expert,1,,CHEMBL687746,,BAO_0000218,2081.0,,CLD0
614692,50421,Inhibition of Clostridium perfringens glutamate decarboxylase at 10 uM by enzyme assay,B,,,Clostridium perfringens,1502.0,,,,,103107,H,8,Autocuration,1,,CHEMBL1113377,,BAO_0000357,,,CLD0
192263,9391,Maximum change in mean aortic blood pressure in conscious renal 2-kidney/1-clip goldblatt hypertensive rat at a dose 3 mg/kg administered orally at 8h; 5 animals tested,F,,,Rattus norvegicus,10116.0,,Artery,,,50597,N,1,Intermediate,1,,CHEMBL799414,,BAO_0000218,1637.0,,CLD0
430278,35313,"Cmax in Sprague-Dawley rat at 10 mg/kg, iv",A,In vivo,,Rattus norvegicus,10116.0,Sprague-Dawley,,,,50597,N,1,Intermediate,1,,CHEMBL913904,,BAO_0000218,,,CLD0
768749,58956,Antimicrobial activity against Mycobacterium tuberculosis H37Rv after 11 days using [14]C labeled palmitic acid as substrate by radiometric Bactec 460TB method,F,,,Mycobacterium tuberculosis H37Rv,83332.0,,,,,104907,N,1,Autocuration,1,401579,CHEMBL1831622,,BAO_0000218,,,CLD0
749319,57898,Inhibition of human recombinant topoisomerase 1-mediated relaxation of supercoiled pBR322 DNA at 20 uM after 30 mins using ethidium bromide staining by transillumination analysis,B,,,Homo sapiens,9606.0,,,,,62,D,9,Autocuration,1,380077,CHEMBL1785100,,BAO_0000357,,,CLD0
117670,16952,Evaluated in vivo for toxic deaths of mice at 0.90 mg/kg for 7 days by intraperitoneal treatment on RXF-393 renal cell line,A,,,Mus musculus,10090.0,,,RXF 393,,50594,N,1,Intermediate,1,,CHEMBL730569,743.0,BAO_0000218,,,CLD0
